neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
Manhattan,Harlem,40.81942,-73.94068,Private room,1,14,1.34,2,128,45
Brooklyn,Crown Heights,40.66593,-73.95082,Private room,4,2,0.05,1,0,50
Brooklyn,Bushwick,40.69177,-73.9135,Private room,30,2,0.41,103,186,41
Brooklyn,Crown Heights,40.6726,-73.92859,Private room,1,0,,2,177,120
Manhattan,East Harlem,40.8025,-73.93775,Entire home/apt,6,32,1.73,2,251,200
Brooklyn,Bensonhurst,40.61519,-74.00398,Private room,2,13,1.64,4,236,39
Brooklyn,Bedford-Stuyvesant,40.69385,-73.9481,Entire home/apt,1,93,2.0,2,0,80
Queens,Elmhurst,40.73603,-73.87845,Private room,2,25,2.31,2,177,70
Manhattan,Lower East Side,40.72148,-73.98823,Private room,4,67,1.09,3,102,98
Brooklyn,Williamsburg,40.71469,-73.95401,Private room,10,0,,1,78,250
Brooklyn,Bushwick,40.69501,-73.91125,Shared room,1,11,2.34,1,157,30
Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,30,467,4.22,2,192,120
Brooklyn,Bushwick,40.70141,-73.91782,Private room,1,0,,1,0,65
Brooklyn,Bedford-Stuyvesant,40.6882,-73.94645,Entire home/apt,5,3,0.04,1,0,115
Manhattan,Washington Heights,40.84699,-73.9362,Private room,7,24,0.54,2,0,55
Brooklyn,Prospect-Lefferts Gardens,40.6602,-73.96246,Private room,3,5,0.11,1,0,50
Brooklyn,East Flatbush,40.64701,-73.94965,Entire home/apt,2,65,3.51,1,236,195
Queens,Flushing,40.74513,-73.83139,Private room,1,100,1.93,8,76,60
Brooklyn,Bushwick,40.68635,-73.91187,Private room,1,9,0.45,2,0,25
Queens,Bellerose,40.74027,-73.71829,Entire home/apt,2,0,,2,281,180
Manhattan,Upper East Side,40.77452,-73.94951,Entire home/apt,30,26,0.41,1,269,150
Manhattan,Morningside Heights,40.80738,-73.95855,Entire home/apt,5,4,0.07,1,0,120
Manhattan,Upper East Side,40.78206,-73.94949,Entire home/apt,5,24,0.85,1,20,105
Manhattan,East Harlem,40.79228,-73.94013,Entire home/apt,2,8,1.53,1,0,106
Manhattan,Nolita,40.72098,-73.99493,Entire home/apt,1,0,,1,0,350
Manhattan,Chinatown,40.71377,-73.99311,Entire home/apt,2,119,2.72,1,78,190
Brooklyn,Bushwick,40.6972,-73.92697,Private room,3,0,,1,0,96
Manhattan,Lower East Side,40.71928,-73.98993,Entire home/apt,3,126,1.68,1,228,140
Manhattan,Upper West Side,40.7983,-73.96115,Entire home/apt,4,4,3.08,1,345,450
Brooklyn,Windsor Terrace,40.64845,-73.97302,Entire home/apt,1,7,0.16,1,0,100
Manhattan,Upper East Side,40.77593,-73.94927,Entire home/apt,1,0,,1,0,550
Brooklyn,Sunset Park,40.66236,-73.99037,Private room,2,41,3.35,1,340,55
Queens,Long Island City,40.75469,-73.92822,Private room,1,23,1.25,2,93,99
Manhattan,Morningside Heights,40.80536,-73.96228,Private room,14,1,0.02,1,0,68
Manhattan,Midtown,40.75518,-73.96306,Entire home/apt,30,0,,14,365,190
Queens,Astoria,40.76571,-73.92758,Private room,30,0,,103,242,48
Brooklyn,Bedford-Stuyvesant,40.69018,-73.93118,Private room,1,1,0.16,1,0,38
Manhattan,Upper West Side,40.7764,-73.98144,Entire home/apt,2,1,0.13,1,0,220
Manhattan,Harlem,40.80989,-73.9549,Private room,1,111,5.37,5,244,174
Manhattan,Upper East Side,40.77688,-73.96177,Private room,1,66,0.94,1,353,109
Brooklyn,Williamsburg,40.7065,-73.95568,Private room,3,76,2.24,2,89,60
Brooklyn,Gravesend,40.60121,-73.97515,Entire home/apt,4,1,0.37,3,173,200
Manhattan,East Village,40.72608,-73.98258,Entire home/apt,2,0,,1,0,174
Queens,Flushing,40.73331,-73.80811,Private room,2,0,,1,0,55
Manhattan,Harlem,40.82513,-73.94617,Private room,7,0,,1,0,35
Queens,Ridgewood,40.69821,-73.8974,Entire home/apt,3,63,4.42,2,50,60
Bronx,Williamsbridge,40.88171,-73.85384,Entire home/apt,2,2,0.82,1,360,75
Brooklyn,Greenpoint,40.72556,-73.94104,Private room,1,2,0.05,1,0,49
Manhattan,Harlem,40.82293,-73.94249,Private room,2,13,1.29,4,238,80
Brooklyn,Prospect-Lefferts Gardens,40.65752,-73.95728,Entire home/apt,5,192,3.14,2,281,92
Manhattan,Harlem,40.82723,-73.94217,Private room,5,1,0.21,1,0,40
Brooklyn,Flatbush,40.64873,-73.96419,Entire home/apt,1,10,0.23,1,0,100
Brooklyn,Flatbush,40.65365,-73.95592,Private room,1,3,1.64,1,0,75
Brooklyn,Williamsburg,40.71359,-73.96553,Private room,1,5,0.25,1,17,80
Queens,Ditmars Steinway,40.77592,-73.90754,Entire home/apt,6,19,1.88,2,7,65
Manhattan,Harlem,40.82198,-73.95771,Private room,2,26,1.17,2,355,85
Manhattan,Greenwich Village,40.73478,-73.99791,Entire home/apt,30,8,0.32,39,275,150
Manhattan,East Village,40.72838,-73.97943,Entire home/apt,2,29,1.29,1,58,305
Brooklyn,Bushwick,40.70158,-73.91851,Entire home/apt,1,0,,1,0,130
Brooklyn,Bedford-Stuyvesant,40.69012,-73.95433,Private room,1,73,7.99,3,65,200
Staten Island,Great Kills,40.56251,-74.14781,Entire home/apt,30,61,2.6,1,205,91
Manhattan,Midtown,40.76197,-73.97562,Entire home/apt,2,0,,11,173,276
Manhattan,Harlem,40.81044,-73.94916,Entire home/apt,3,13,0.37,1,207,150
Brooklyn,Greenpoint,40.72545,-73.95405,Entire home/apt,3,2,0.03,1,205,200
Queens,Elmhurst,40.73655,-73.87892,Entire home/apt,2,29,3.83,1,298,300
Manhattan,Gramercy,40.7345,-73.98482,Entire home/apt,6,11,0.41,1,177,325
Brooklyn,Williamsburg,40.70926,-73.95037,Private room,2,0,,1,0,50
Brooklyn,Williamsburg,40.71731,-73.94907,Private room,1,2,2.0,3,353,135
Brooklyn,Fort Greene,40.69379,-73.97111,Private room,1,36,3.59,2,329,67
Queens,East Elmhurst,40.76224,-73.8766,Private room,1,128,4.36,2,145,40
Brooklyn,Bushwick,40.70458,-73.92888,Private room,2,3,0.63,1,14,80
Manhattan,Murray Hill,40.74848,-73.97564,Private room,30,0,,50,364,222
Manhattan,Murray Hill,40.75128,-73.97658,Entire home/apt,1,321,3.93,1,185,165
Manhattan,Lower East Side,40.71501,-73.98478,Private room,2,5,0.71,1,165,95
Brooklyn,Williamsburg,40.71332,-73.94177,Private room,3,335,3.02,1,152,101
Manhattan,East Village,40.72728,-73.98954,Private room,7,25,1.1,2,42,60
Manhattan,Harlem,40.80549,-73.95129,Private room,1,3,0.28,2,0,83
Queens,Flushing,40.75456,-73.80417,Private room,1,37,2.19,1,39,48
Manhattan,Upper East Side,40.76349,-73.95969,Entire home/apt,3,9,0.36,2,0,400
Brooklyn,Brighton Beach,40.5767,-73.96,Private room,1,5,1.18,2,351,45
Manhattan,Hell's Kitchen,40.76235,-73.98872,Entire home/apt,1,179,5.71,1,116,175
Queens,Rockaway Beach,40.5886,-73.8124,Entire home/apt,2,2,0.14,2,0,86
Queens,Ridgewood,40.70897,-73.89663,Private room,30,0,,23,335,34
Brooklyn,Clinton Hill,40.6818,-73.96238,Private room,1,83,1.39,1,248,99
Brooklyn,Williamsburg,40.71153,-73.94215,Private room,2,124,3.65,1,58,100
Brooklyn,Williamsburg,40.71122,-73.93946,Entire home/apt,3,7,0.28,1,0,170
Brooklyn,Bushwick,40.68467,-73.91341,Private room,2,7,0.96,1,36,55
Brooklyn,Canarsie,40.63028,-73.90121,Entire home/apt,2,0,,1,353,110
Manhattan,Upper West Side,40.79858,-73.97301,Private room,6,4,0.15,1,0,95
Brooklyn,Williamsburg,40.71054,-73.94691,Private room,2,0,,1,0,115
Manhattan,Upper West Side,40.78363,-73.97797,Entire home/apt,3,58,0.7,1,341,349
Manhattan,Upper West Side,40.78054,-73.984,Entire home/apt,6,5,0.37,1,0,137
Manhattan,Upper West Side,40.79147,-73.96644,Private room,14,0,,1,87,99
Queens,Rockaway Beach,40.5903,-73.8143,Private room,2,36,0.74,1,365,113
Manhattan,East Village,40.72795,-73.98567,Entire home/apt,2,39,1.15,1,0,200
Manhattan,Hell's Kitchen,40.76191,-73.99766,Entire home/apt,30,0,,121,185,499
Brooklyn,Williamsburg,40.71198,-73.96114,Private room,2,12,0.38,1,356,80
Manhattan,Midtown,40.74431,-73.98196,Entire home/apt,5,36,2.87,1,124,350
Brooklyn,Bushwick,40.69293,-73.90537,Entire home/apt,1,4,0.48,1,35,100
Brooklyn,Fort Greene,40.68418,-73.96926,Entire home/apt,5,19,0.24,1,301,355
Manhattan,East Village,40.72612,-73.98946,Private room,3,0,,3,12,110
Manhattan,Upper East Side,40.76015,-73.96227,Entire home/apt,2,4,0.53,11,354,140
Manhattan,Upper West Side,40.77889,-73.9878,Private room,14,0,,1,0,95
Manhattan,Harlem,40.82447,-73.95076,Private room,1,2,0.03,1,0,95
Brooklyn,Downtown Brooklyn,40.69805,-73.9846,Entire home/apt,2,16,0.43,1,0,150
Manhattan,Chinatown,40.718,-73.99666,Private room,4,2,0.09,1,0,80
Manhattan,Hell's Kitchen,40.7622,-73.99673,Entire home/apt,29,0,,327,332,189
Manhattan,Midtown,40.74698,-73.98906,Private room,1,135,7.67,3,311,110
Manhattan,Washington Heights,40.85116,-73.93457,Entire home/apt,3,7,0.64,1,6,90
Manhattan,East Harlem,40.79532,-73.94454,Private room,4,46,1.23,1,72,85
Brooklyn,Gravesend,40.58972,-73.97172,Shared room,7,0,,6,343,25
Manhattan,West Village,40.73123,-74.00428,Entire home/apt,5,1,0.02,1,0,200
Queens,Arverne,40.58928,-73.79531,Private room,1,2,0.05,1,0,150
Manhattan,Midtown,40.74538,-73.98313,Entire home/apt,31,5,0.12,1,365,285
Manhattan,Flatiron District,40.74148,-73.98493,Entire home/apt,1,0,,1,0,200
Brooklyn,Williamsburg,40.70908,-73.96146,Private room,2,2,0.09,2,0,90
Brooklyn,Bedford-Stuyvesant,40.69157,-73.95522,Private room,2,40,2.2,1,0,65
Brooklyn,Flatbush,40.65271,-73.96074,Private room,2,12,0.2,4,189,59
Brooklyn,Williamsburg,40.72011,-73.95847,Private room,1,1,0.05,1,0,65
Manhattan,Hell's Kitchen,40.75655,-73.99535,Private room,1,44,4.07,3,36,90
Brooklyn,Clinton Hill,40.68246,-73.9643,Entire home/apt,2,2,0.31,1,44,195
Manhattan,Harlem,40.80815,-73.94325,Private room,28,16,0.22,3,365,70
Manhattan,Hell's Kitchen,40.76704,-73.98484,Entire home/apt,60,5,0.42,1,76,115
Manhattan,Harlem,40.80411,-73.95624,Entire home/apt,1,5,0.09,1,0,225
Queens,Ridgewood,40.69935,-73.91043,Private room,2,10,3.13,4,128,44
Manhattan,East Harlem,40.79314,-73.94853,Private room,3,74,0.84,3,212,125
Manhattan,Theater District,40.75923,-73.9865,Entire home/apt,29,0,,327,331,207
Manhattan,Financial District,40.70656,-74.01092,Entire home/apt,2,8,1.88,327,356,227
Manhattan,Upper West Side,40.78673,-73.97304,Entire home/apt,30,0,,1,280,130
Manhattan,Upper West Side,40.79913,-73.95932,Private room,2,114,2.0,1,363,97
Queens,Arverne,40.58859,-73.7938,Private room,1,31,0.79,5,361,95
Manhattan,Chelsea,40.74765,-74.0042,Entire home/apt,4,6,0.12,1,0,325
Brooklyn,Crown Heights,40.67702,-73.95864,Entire home/apt,2,7,0.18,1,32,105
Queens,St. Albans,40.70052,-73.75184,Private room,4,0,,1,365,400
Manhattan,Upper West Side,40.80034,-73.96127,Private room,3,1,0.06,1,0,39
Brooklyn,Clinton Hill,40.69072,-73.96539,Entire home/apt,14,4,0.19,2,179,165
Brooklyn,Bedford-Stuyvesant,40.67712,-73.9226,Entire home/apt,1,63,5.61,1,82,148
Queens,Astoria,40.75651,-73.91485,Entire home/apt,2,70,2.64,1,175,180
Brooklyn,Crown Heights,40.67431,-73.95399,Private room,30,19,0.52,1,281,55
Manhattan,Washington Heights,40.83294,-73.94218,Private room,2,1,0.05,1,0,80
Brooklyn,Bay Ridge,40.62493,-74.02837,Entire home/apt,1,92,4.09,1,312,90
Brooklyn,Bedford-Stuyvesant,40.68631,-73.95575,Entire home/apt,2,237,3.7,1,266,190
Manhattan,Midtown,40.75225,-73.97067,Private room,3,5,0.27,1,8,185
Manhattan,Financial District,40.70761,-74.01078,Entire home/apt,2,3,1.11,327,340,235
Manhattan,Upper West Side,40.77506,-73.98162,Entire home/apt,15,0,,1,0,70
Brooklyn,Crown Heights,40.66977,-73.94341,Entire home/apt,2,31,1.15,3,175,169
Manhattan,Kips Bay,40.74221,-73.97997,Entire home/apt,25,0,,1,54,100
Brooklyn,Bay Ridge,40.6224,-74.02428,Private room,1,17,2.71,1,311,50
Queens,Astoria,40.76435,-73.92001,Entire home/apt,17,9,0.28,1,0,101
Brooklyn,Williamsburg,40.71992,-73.95536,Entire home/apt,2,18,0.38,1,0,299
Brooklyn,Bushwick,40.70179,-73.92379,Entire home/apt,1,2,0.08,2,0,79
Manhattan,East Harlem,40.80472,-73.94077,Private room,3,2,0.09,2,0,55
Brooklyn,Downtown Brooklyn,40.69209,-73.98499,Entire home/apt,1,10,0.27,1,0,175
Brooklyn,Prospect-Lefferts Gardens,40.65618,-73.95664,Private room,4,26,1.81,1,73,55
Manhattan,Hell's Kitchen,40.7667,-73.98692,Shared room,1,2,1.3,5,23,95
Brooklyn,Bedford-Stuyvesant,40.6898,-73.95333,Private room,2,0,,2,88,75
Brooklyn,Bushwick,40.69535,-73.9184,Private room,2,48,1.11,2,263,84
Manhattan,Harlem,40.82225,-73.94549,Private room,1,3,0.08,1,0,55
Brooklyn,Crown Heights,40.67431,-73.94065,Entire home/apt,5,2,0.15,2,364,150
Manhattan,Harlem,40.82325,-73.95243,Private room,14,12,0.82,4,0,46
Queens,St. Albans,40.69548,-73.77436,Private room,2,1,0.16,1,0,65
Manhattan,Upper West Side,40.79544,-73.96736,Entire home/apt,30,2,0.06,96,244,140
Brooklyn,Clinton Hill,40.68973,-73.96073,Private room,2,2,0.04,1,0,65
Manhattan,Hell's Kitchen,40.76571,-73.99482,Entire home/apt,1,12,0.24,1,163,120
Manhattan,Chelsea,40.7392,-73.99578,Entire home/apt,30,0,,232,359,314
Brooklyn,Bedford-Stuyvesant,40.68012,-73.94837,Entire home/apt,2,18,3.94,3,299,150
Queens,Bayside,40.76189,-73.77349,Entire home/apt,2,7,0.9,1,41,120
Bronx,Williamsbridge,40.87704,-73.86276,Entire home/apt,30,0,,1,0,80
Manhattan,Murray Hill,40.74948,-73.97685,Entire home/apt,30,0,,50,365,150
Brooklyn,Bushwick,40.68868,-73.90598,Private room,3,79,3.67,4,312,45
Brooklyn,Bedford-Stuyvesant,40.68616,-73.93136,Private room,30,0,,27,358,42
Manhattan,Greenwich Village,40.72926,-73.9989,Private room,2,146,2.21,2,265,119
Manhattan,East Harlem,40.78592,-73.94837,Private room,4,0,,1,45,82
Brooklyn,Bedford-Stuyvesant,40.686,-73.93793,Entire home/apt,1,2,0.04,1,0,90
Bronx,Hunts Point,40.81658,-73.88889,Private room,14,13,0.4,4,340,59
Manhattan,Upper East Side,40.77816,-73.9541,Private room,1,44,3.45,2,98,95
Queens,Woodside,40.7434,-73.90588,Entire home/apt,1,95,5.63,2,0,50
Brooklyn,Bushwick,40.70588,-73.92302,Private room,1,7,0.21,1,0,45
Bronx,Wakefield,40.89338,-73.84785,Entire home/apt,2,10,5.56,1,173,309
Manhattan,Gramercy,40.73631,-73.98525,Private room,7,0,,1,0,150
Brooklyn,Williamsburg,40.70263,-73.93488,Private room,5,1,0.37,3,4,70
Manhattan,Upper East Side,40.77484,-73.95726,Private room,1,2,0.04,2,0,80
Brooklyn,Bedford-Stuyvesant,40.68802,-73.9534,Private room,2,0,,4,189,200
Brooklyn,Williamsburg,40.71349,-73.9629,Entire home/apt,5,26,0.47,1,0,165
Manhattan,Financial District,40.70648,-74.01234,Entire home/apt,12,4,0.16,1,0,105
Queens,Woodside,40.75066,-73.90424,Private room,2,14,0.33,3,90,155
Manhattan,Harlem,40.80577,-73.9448,Private room,60,0,,6,210,55
Brooklyn,Williamsburg,40.70783,-73.94346,Entire home/apt,2,1,0.38,1,10,180
Brooklyn,Crown Heights,40.67612,-73.93722,Entire home/apt,2,1,1.0,1,58,300
Brooklyn,Bedford-Stuyvesant,40.68769,-73.93074,Private room,2,36,0.61,7,71,72
Queens,Jamaica,40.67747,-73.76493,Shared room,1,454,5.27,1,353,39
Manhattan,Harlem,40.82349,-73.94053,Private room,2,10,0.32,1,8,80
Queens,Arverne,40.58977,-73.79498,Private room,1,56,1.14,5,361,149
Brooklyn,East Flatbush,40.65466,-73.9218,Entire home/apt,4,89,2.44,2,282,115
Manhattan,Harlem,40.81835,-73.94138,Private room,1,2,0.04,1,0,50
Manhattan,West Village,40.73879,-74.00425,Entire home/apt,27,1,0.01,1,0,200
Queens,Woodside,40.74377,-73.9024,Entire home/apt,2,156,4.13,1,263,125
Manhattan,East Village,40.73137,-73.98504,Entire home/apt,30,0,,232,43,285
Queens,Astoria,40.76788,-73.92334,Entire home/apt,1,102,1.73,1,33,100
Manhattan,Upper East Side,40.78352,-73.95275,Private room,2,57,4.76,3,351,120
Brooklyn,Crown Heights,40.67689,-73.95079,Private room,3,3,0.11,1,0,30
Manhattan,Greenwich Village,40.72848,-74.00269,Entire home/apt,1,8,2.96,1,192,300
Brooklyn,Williamsburg,40.70883,-73.93873,Private room,1,14,0.4,1,0,67
Staten Island,Concord,40.59972,-74.07701,Private room,1,2,2.0,4,360,35
Brooklyn,Bushwick,40.70192,-73.92928,Private room,1,7,0.15,1,0,45
Brooklyn,Greenpoint,40.72668,-73.95555,Private room,2,13,0.22,3,282,50
Brooklyn,Flatbush,40.64295,-73.95276,Private room,3,20,0.38,1,131,40
Manhattan,Midtown,40.74731,-73.98821,Entire home/apt,1,11,1.42,17,221,163
Manhattan,East Harlem,40.79834,-73.94761,Entire home/apt,1,8,0.23,1,0,164
Manhattan,Upper West Side,40.80029,-73.96626,Private room,1,1,0.03,2,188,75
Brooklyn,Williamsburg,40.71067,-73.96005,Private room,5,14,0.3,2,10,68
Manhattan,Lower East Side,40.7198,-73.98434,Private room,2,58,1.05,1,0,64
Brooklyn,Bushwick,40.7014,-73.91333,Private room,10,19,0.27,1,0,59
Manhattan,Upper West Side,40.77889,-73.97668,Entire home/apt,3,0,,1,10,143
Queens,Kew Gardens,40.71222,-73.83297,Shared room,2,2,2.0,2,34,35
Manhattan,Upper West Side,40.79392,-73.97288,Entire home/apt,2,12,1.13,1,5,119
Manhattan,Harlem,40.81102,-73.94562,Entire home/apt,30,23,0.47,1,0,85
Manhattan,Chinatown,40.71288,-73.9974,Entire home/apt,2,167,4.04,1,261,180
Brooklyn,South Slope,40.66402,-73.98282,Entire home/apt,5,29,3.57,1,74,285
Manhattan,East Harlem,40.79238,-73.94402,Entire home/apt,2,0,,1,34,120
Manhattan,Hell's Kitchen,40.76228,-73.99026,Entire home/apt,2,53,4.86,1,150,195
Manhattan,Harlem,40.82367,-73.93762,Entire home/apt,2,3,0.09,1,0,105
Brooklyn,Flatbush,40.65345,-73.9566,Private room,1,1,0.03,2,250,91
Manhattan,Washington Heights,40.84726,-73.93866,Entire home/apt,1,15,1.87,1,170,90
Manhattan,Chelsea,40.74907,-74.00374,Entire home/apt,4,35,2.19,1,79,375
Manhattan,Nolita,40.72222,-73.99443,Private room,3,2,1.62,1,55,100
Brooklyn,Greenpoint,40.72781,-73.95526,Entire home/apt,3,2,0.09,1,0,215
Brooklyn,Carroll Gardens,40.68225,-73.99116,Private room,1,12,0.54,1,0,50
Manhattan,Upper East Side,40.76717,-73.95317,Entire home/apt,2,3,0.07,1,0,250
Brooklyn,Prospect-Lefferts Gardens,40.66159,-73.95921,Entire home/apt,3,11,1.05,1,0,104
Brooklyn,Boerum Hill,40.68347,-73.97971,Private room,1,201,4.45,4,5,72
Bronx,Parkchester,40.83581,-73.85864,Private room,2,3,0.29,2,0,65
Brooklyn,East New York,40.67296,-73.87435,Entire home/apt,1,7,0.38,6,177,249
Brooklyn,Gravesend,40.58892,-73.97379,Private room,3,67,1.53,2,40,70
Manhattan,Hell's Kitchen,40.75781,-73.99751,Private room,1,6,0.41,1,365,175
Manhattan,SoHo,40.72688,-74.0022,Entire home/apt,3,79,2.33,1,28,200
Manhattan,Chinatown,40.71387,-73.99427,Entire home/apt,5,0,,1,165,155
Manhattan,East Village,40.72945,-73.98203,Private room,1,3,0.21,2,0,75
Brooklyn,Bedford-Stuyvesant,40.68642,-73.92864,Entire home/apt,3,86,3.02,1,25,100
Brooklyn,Flatbush,40.65257,-73.96259,Private room,2,44,1.33,1,1,60
Brooklyn,Crown Heights,40.67816,-73.95112,Entire home/apt,7,0,,1,0,100
Manhattan,SoHo,40.72586,-74.00079,Private room,1,14,1.25,1,0,75
Brooklyn,Cypress Hills,40.68106,-73.88916,Private room,3,23,0.95,3,321,65
Brooklyn,Bushwick,40.69231,-73.92567,Entire home/apt,3,58,7.91,2,2,90
Manhattan,Harlem,40.81691,-73.94835,Entire home/apt,3,2,0.06,1,0,100
Queens,Flushing,40.75985,-73.82393,Entire home/apt,30,1,0.43,15,303,120
Manhattan,Greenwich Village,40.73081,-74.00089,Private room,7,0,,1,15,200
Brooklyn,Williamsburg,40.70784,-73.94698,Private room,2,15,0.41,1,188,90
Brooklyn,Carroll Gardens,40.67859,-73.99444,Entire home/apt,4,61,0.72,1,15,115
Brooklyn,Gowanus,40.68208,-73.98093,Private room,7,0,,1,0,100
Brooklyn,Williamsburg,40.70909,-73.9256,Private room,1,1,0.02,1,0,55
Manhattan,Midtown,40.75732,-73.98142,Entire home/apt,3,14,0.74,3,89,350
Brooklyn,Sea Gate,40.57531,-74.00518,Entire home/apt,4,0,,1,19,99
Brooklyn,Bedford-Stuyvesant,40.69561,-73.93603,Private room,3,1,0.02,1,0,475
Manhattan,Harlem,40.82582,-73.946,Private room,4,3,0.4,2,0,70
Queens,East Elmhurst,40.75675,-73.88599,Entire home/apt,1,18,3.16,2,141,99
Brooklyn,Prospect-Lefferts Gardens,40.65772,-73.96131,Entire home/apt,4,115,1.25,1,312,93
Brooklyn,Bushwick,40.69269,-73.92178,Entire home/apt,1,24,7.58,1,296,201
Brooklyn,Red Hook,40.67856,-74.01584,Entire home/apt,3,17,1.42,1,6,100
Manhattan,Financial District,40.70494,-74.00806,Private room,3,3,0.24,2,0,150
Queens,Glendale,40.69643,-73.89362,Entire home/apt,3,19,0.7,1,104,65
Brooklyn,Williamsburg,40.7155,-73.96188,Private room,1,6,0.16,3,364,150
Queens,Jackson Heights,40.7523,-73.87204,Private room,3,12,1.02,1,5,46
Brooklyn,Bushwick,40.69758,-73.93493,Private room,2,93,2.39,5,202,50
Brooklyn,East New York,40.66072,-73.87638,Entire home/apt,6,30,1.84,1,0,75
Queens,Jamaica,40.66875,-73.78506,Entire home/apt,1,259,12.99,1,307,96
Brooklyn,Crown Heights,40.6735,-73.95562,Private room,1,0,,1,0,45
Manhattan,Hell's Kitchen,40.75423,-73.99461,Private room,1,75,4.93,1,134,120
Brooklyn,Williamsburg,40.70523,-73.94072,Private room,1,0,,4,0,100
Manhattan,East Village,40.72876,-73.98655,Entire home/apt,7,4,0.47,1,56,187
Manhattan,Flatiron District,40.74283,-73.99246,Entire home/apt,7,1,0.04,1,0,150
Brooklyn,Greenpoint,40.72607,-73.95103,Private room,2,26,0.45,2,6,65
Brooklyn,Williamsburg,40.70851,-73.95318,Private room,4,1,0.06,2,0,100
Queens,Elmhurst,40.73543,-73.87522,Private room,1,2,0.18,1,33,89
Manhattan,Chelsea,40.75003,-73.99589,Entire home/apt,14,1,0.09,1,88,250
Manhattan,East Village,40.72585,-73.98831,Private room,4,9,3.14,1,48,50
Brooklyn,Prospect-Lefferts Gardens,40.6586,-73.96104,Private room,3,4,0.22,1,331,80
Brooklyn,East New York,40.66905,-73.88976,Private room,2,3,0.22,4,353,85
Manhattan,Midtown,40.74307,-73.98386,Entire home/apt,1,3,3.0,1,270,170
Bronx,Bronxdale,40.85236,-73.86632,Private room,1,114,3.48,1,0,35
Brooklyn,Downtown Brooklyn,40.69751,-73.98536,Entire home/apt,3,0,,1,0,200
Brooklyn,Bedford-Stuyvesant,40.68929,-73.93079,Private room,1,296,6.37,7,59,79
Brooklyn,Crown Heights,40.66951,-73.94931,Entire home/apt,1,0,,1,0,110
Brooklyn,Carroll Gardens,40.6845,-73.99024,Entire home/apt,4,4,0.16,2,0,175
Manhattan,Theater District,40.76118,-73.98535,Entire home/apt,30,1,0.04,121,306,139
Manhattan,East Village,40.72047,-73.97998,Entire home/apt,4,1,0.26,1,0,120
Manhattan,SoHo,40.72458,-74.00312,Private room,3,3,0.33,1,363,100
Manhattan,Inwood,40.86387,-73.92711,Private room,5,6,1.94,9,323,180
Brooklyn,Fort Greene,40.69716,-73.97384,Private room,30,1,1.0,25,322,48
Brooklyn,Clinton Hill,40.68715,-73.96433,Entire home/apt,3,4,0.09,1,0,75
Manhattan,SoHo,40.72408,-73.99823,Entire home/apt,10,10,0.22,1,33,500
Brooklyn,Borough Park,40.63844,-74.00232,Private room,1,9,0.82,8,0,40
Brooklyn,Williamsburg,40.71234,-73.94085,Entire home/apt,30,63,1.25,1,321,100
Brooklyn,Coney Island,40.58101,-73.98514,Entire home/apt,6,0,,1,297,149
Manhattan,Harlem,40.80431,-73.95245,Private room,2,3,0.08,2,0,75
Brooklyn,Williamsburg,40.70874,-73.93818,Private room,30,16,0.28,2,190,60
Brooklyn,Bedford-Stuyvesant,40.68336,-73.95421,Entire home/apt,1,27,0.98,1,39,100
Manhattan,Chelsea,40.73968,-73.99746,Private room,2,41,3.54,4,316,150
Manhattan,East Harlem,40.78968,-73.94202,Private room,1,39,0.82,3,306,80
Brooklyn,Bedford-Stuyvesant,40.68643,-73.92208,Private room,2,180,3.04,1,0,56
Brooklyn,Greenpoint,40.7202,-73.95191,Private room,7,25,0.42,1,16,150
Manhattan,Harlem,40.82204,-73.94293,Private room,1,60,3.08,1,101,65
Queens,Flushing,40.75314,-73.81964,Entire home/apt,3,50,2.51,1,40,245
Manhattan,Lower East Side,40.71578,-73.98201,Private room,1,0,,1,0,47
Manhattan,Harlem,40.81134,-73.94044,Entire home/apt,1,11,0.29,1,0,157
Manhattan,Harlem,40.80743,-73.94256,Private room,3,211,3.72,1,6,71
Brooklyn,Flatbush,40.63676,-73.96713,Private room,10,1,0.02,2,0,31
Manhattan,Midtown,40.76365,-73.97754,Entire home/apt,1,0,,2,0,200
Manhattan,Kips Bay,40.73879,-73.98226,Entire home/apt,1,0,,1,0,749
Queens,Rego Park,40.7258,-73.86715,Private room,1,2,2.0,10,127,70
Manhattan,Harlem,40.82335,-73.94939,Entire home/apt,4,20,3.66,3,310,145
Brooklyn,Williamsburg,40.70952,-73.9435,Entire home/apt,6,2,2.0,1,49,200
Manhattan,Upper East Side,40.77774,-73.95711,Entire home/apt,5,0,,1,0,400
Brooklyn,Flatbush,40.64176,-73.9615,Entire home/apt,7,0,,1,16,190
Queens,Astoria,40.75868,-73.92615,Entire home/apt,2,128,3.65,1,255,122
Manhattan,Upper West Side,40.77159,-73.98215,Entire home/apt,5,8,0.73,1,27,151
Queens,Long Island City,40.76184,-73.92839,Entire home/apt,3,9,0.29,1,0,76
Staten Island,Randall Manor,40.63878,-74.10636,Private room,3,23,0.52,1,172,69
Brooklyn,Park Slope,40.67622,-73.97953,Entire home/apt,2,7,0.2,1,0,125
Brooklyn,Crown Heights,40.67204,-73.95147,Entire home/apt,3,143,2.07,1,23,107
