neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
Queens,Woodside,40.74668,-73.89723,Private room,5,9,0.16,2,0,35
Brooklyn,Bushwick,40.69439,-73.9068,Private room,4,5,0.09,4,98,69
Manhattan,East Village,40.73022,-73.98893,Entire home/apt,30,5,0.11,1,301,198
Manhattan,East Village,40.7281,-73.97952,Entire home/apt,5,3,0.07,1,0,100
Bronx,Longwood,40.81928,-73.90933,Private room,2,47,1.22,4,249,60
Brooklyn,Bedford-Stuyvesant,40.69025,-73.92491,Private room,1,0,,1,179,225
Brooklyn,East Flatbush,40.63612,-73.946,Entire home/apt,2,19,0.31,4,328,325
Manhattan,Upper West Side,40.7773,-73.97736,Entire home/apt,2,9,1.32,1,286,350
Brooklyn,Greenpoint,40.72963,-73.94937,Private room,1,0,,1,0,45
Manhattan,Murray Hill,40.74819,-73.97201,Entire home/apt,6,2,0.09,1,341,200
Brooklyn,Fort Greene,40.69286,-73.96993,Entire home/apt,4,45,1.01,1,190,100
Brooklyn,Flatlands,40.62915,-73.9198,Entire home/apt,2,64,4.92,1,194,125
Brooklyn,Cypress Hills,40.68064,-73.88285,Private room,2,5,0.49,3,365,68
Brooklyn,Bedford-Stuyvesant,40.68322,-73.93073,Entire home/apt,5,47,1.53,2,91,115
Brooklyn,Williamsburg,40.71018,-73.94057,Private room,3,2,0.17,1,36,55
Queens,Long Island City,40.76506,-73.93234,Entire home/apt,15,1,0.06,1,0,65
Manhattan,Upper West Side,40.7889,-73.9729,Entire home/apt,5,3,0.08,1,9,300
Manhattan,Gramercy,40.73674,-73.98308,Entire home/apt,3,52,3.2,1,3,100
Manhattan,Midtown,40.75709,-73.96327,Private room,3,98,2.66,1,278,98
Brooklyn,Bedford-Stuyvesant,40.68266,-73.94321,Entire home/apt,1,3,0.13,1,0,100
Manhattan,Upper West Side,40.7867,-73.96951,Entire home/apt,2,0,,1,5,165
Brooklyn,Bushwick,40.68754,-73.91231,Private room,7,4,0.92,1,95,55
Bronx,Fordham,40.86066,-73.89883,Private room,1,0,,1,363,149
Manhattan,Lower East Side,40.71286,-73.98437,Private room,2,6,0.13,4,0,102
Manhattan,Harlem,40.83155,-73.94804,Private room,1,52,1.39,4,355,85
Brooklyn,Clinton Hill,40.68389,-73.96026,Private room,1,15,0.43,1,179,89
Brooklyn,Windsor Terrace,40.65892,-73.98386,Private room,2,26,1.6,1,74,45
Manhattan,Tribeca,40.72345,-74.01001,Entire home/apt,4,3,0.16,1,0,299
Queens,Long Island City,40.74606,-73.95765,Entire home/apt,30,1,0.02,1,0,130
Manhattan,Upper West Side,40.78111,-73.97739,Private room,14,88,1.03,1,176,93
Manhattan,Midtown,40.75685,-73.96388,Entire home/apt,2,4,0.22,1,0,210
Manhattan,East Village,40.72807,-73.98594,Entire home/apt,3,0,,1,0,200
Queens,Forest Hills,40.71711,-73.8347,Private room,1,34,1.67,1,93,70
Manhattan,Inwood,40.86699,-73.92689,Entire home/apt,1,17,1.68,1,64,90
Manhattan,Upper East Side,40.76014,-73.96098,Entire home/apt,1,25,1.67,11,330,140
Brooklyn,Greenpoint,40.73226,-73.95285,Private room,1,2,0.05,1,0,60
Bronx,Mount Hope,40.84819,-73.90648,Entire home/apt,2,41,0.81,2,342,125
Queens,Flushing,40.74588,-73.83284,Private room,1,14,2.76,6,121,49
Brooklyn,Fort Hamilton,40.62139,-74.0319,Entire home/apt,1,1,0.09,1,0,125
Brooklyn,Bushwick,40.70468,-73.92443,Private room,5,0,,3,0,45
Manhattan,East Harlem,40.79154,-73.94233,Private room,1,186,6.38,4,199,65
Brooklyn,Williamsburg,40.71239,-73.96178,Private room,5,0,,1,0,65
Brooklyn,Midwood,40.61295,-73.95366,Private room,1,10,0.3,1,0,50
Manhattan,East Village,40.72564,-73.98088,Private room,1,0,,1,0,49
Manhattan,Morningside Heights,40.81509,-73.96019,Entire home/apt,4,4,0.07,1,0,120
Manhattan,East Village,40.72167,-73.98066,Private room,1,3,0.38,1,365,125
Manhattan,Harlem,40.80872,-73.94228,Entire home/apt,1,2,0.07,3,0,150
Brooklyn,Williamsburg,40.71193,-73.95956,Entire home/apt,3,32,3.58,2,141,200
Manhattan,Murray Hill,40.74796,-73.97018,Entire home/apt,3,0,,1,0,144
Brooklyn,Prospect Heights,40.67603,-73.96941,Entire home/apt,4,2,0.04,1,0,135
